Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,6.102000,6.730000,6.058000,6.232000,6.009724,51991654
2022-02-01,6.224000,6.356000,4.752000,4.943000,4.766699,55249391
2022-03-01,4.929000,5.082000,3.900000,4.931000,4.755127,84127485
2022-04-01,4.931000,5.038000,4.347000,4.748000,4.578654,44107963
2022-05-01,4.680000,4.758000,4.301000,4.602000,4.437861,37569384
2022-06-01,4.646000,4.740000,3.820000,3.876000,3.876000,35145850
2022-07-01,3.850000,4.259000,3.755000,4.208000,4.208000,37459256
2022-08-01,4.200000,4.530000,3.500000,3.780000,3.780000,54823989
2022-09-01,3.713000,3.941000,3.221000,3.360000,3.360000,42173594
2022-10-01,3.340000,3.870000,3.245000,3.818000,3.818000,49124223
2022-11-01,3.820000,4.265000,3.631000,4.240000,4.240000,47603328
2022-12-01,4.271000,4.365000,3.948000,4.004000,4.004000,31729701
2023-01-01,4.023000,4.806000,4.023000,4.569000,4.569000,29328964
2023-01-26,4.591000,4.631000,4.585000,4.600000,4.600000,356479